# MelodicHouse - suggested mixing order (light -> aggressive). number | bpm | source | file
## 1. Soft opening - ambient, very gentle, 112-118 bpm
0770 | 118.0 bpm | new              | OKASSUS - Allure - 2025.mp3
0780 | 118.0 bpm | new              | ORACLE - Around Me - 2024.mp3
0790 | 118.0 bpm | new              | Archaellum - Threads - 2021.mp3
0800P | 118.1 bpm | _played-before   | Archaellum - Something Beautiful - 2025.mp3
0810 | 119.0 bpm | new              | Aftruu - Tribute to Me - 2020.mp3
0820 | 119.0 bpm | new              | Approaching Black - Closer - 2019.mp3
0830 | 119.0 bpm | new              | Aleyum - Galvanic Seasons - 2026.mp3
0840 | 119.0 bpm | new              | Enviado Vida & Clarico - A Sudden Display of Life - 2024.mp3
0850 | 119.9 bpm | new              | Enviado Vida - Best of Times - 2020.mp3
0860 | 119.0 bpm | new              | Flexible Fire feat. Fractures - Toast - 2024.mp3
0870 | 120.0 bpm | new              | Liam Thomas - Tokyo - 2024.mp3

## 3. Uplifting - brighter, driving melodic house, 120-122 bpm
0880P | 120.0 bpm | _played-before   | Glaue - Kykeon - 2021.mp3
0890 | 120.0 bpm | new              | Not Now Please - Don't Forget the Parachute - 2021.mp3
0900P | 120.0 bpm | _played-before   | Vintage & Morelli x Arielle Maren w_ RNX - Lonely Shore (Blood Groove & Kikis Remix) - 2020.mp3
0910P | 120.0 bpm | _played-before   | Dokho & Not Now Please - Two Lakes - 2024.mp3
0920 | 118.0 bpm | new              | Dokho & Not Now Please - Follow the Princess - 2023.mp3
0930 | 120.0 bpm | new              | Dokho - Crystal Cave - 2025.mp3
0940P | 120.0 bpm | _played-before   | Dokho - One Night in Medellín - 2025.mp3
0950P | 120.0 bpm | _played-before   | Jake Kaiser - Kestrel - 2021.mp3
0960P | 120.0 bpm | _played-before   | Jay FM - Come - 2018.mp3
0970P | 120.0 bpm | _played-before   | Nōpi - Bila - 2020.mp3
0980P | 120.0 bpm | _played-before   | Shingo Nakamura - Phenomena - 2021.mp3
0990P | 120.0 bpm | _played-before   | Shingo Nakamura & Warung - Worlds Apart - 2025.mp3
1000 | 121.0 bpm | new              | Shingo Nakamura - Come Closer - 2023.mp3
1010 | 120.0 bpm | new              | ORACLE - Sunrise - 2026.mp3
1020 | 120.2 bpm | new              | ORACLE & Holochrome - Love Me, Let Me Go - 2025.mp3
1030 | 120.0 bpm | new              | ORACLE & JEANS - Evergreen - 2026.mp3
1040P | 120.0 bpm | _played-before   | ORACLE - Breathless - 2026.mp3
1050 | 120.0 bpm | new              | OKASSUS - Maraschino - 2026.mp3
1060 | 120.0 bpm | new              | Finding Mero - Glass Souls - 2025.mp3
1070 | 121.0 bpm | new              | Finding Mero - Solitude - 2025.mp3
1080P | 121.1 bpm | _played-before   | Finding Mero - Wistful Waves - 2025.mp3
1090 | 121.0 bpm | new              | Keanler & Lewyn - Oxygen - 2023.mp3
1100 | 121.0 bpm | new              | Enviado Vida - 2 Years Later - 2019.mp3
1110 | 121.0 bpm | new              | Sound Quelle - Melancholy Strings - 2021.mp3
1120 | 121.0 bpm | new              | Aftruu - Words Left Unsaid - 2022.mp3
1130 | 120.9 bpm | new              | Claes Rosen - One-sided Love - 2020.mp3
1140P | 120.0 bpm | _played-before   | oncor - Find Yourself Again - 2025.mp3
1150 | 120.0 bpm | new              | rshand - Adore - 2025.mp3
1160 | 120.0 bpm | new              | rshand - Leave It All - 2024.mp3
1170 | 120.0 bpm | new              | rshand - Unworthy - 2025.mp3
1180 | 120.0 bpm | new              | rshand - November - 2025.mp3
1190 | 122.0 bpm | new              | rshand & Birø - Chrome - 2025.mp3
1200 | 120.0 bpm | new              | A.M.R & Fractures - Mirrorball - 2023.mp3
1210 | 120.0 bpm | new              | A.M.R & MØØNE - Numb - 2025.mp3
1220 | 120.0 bpm | new              | A.M.R - Sealine - 2024.mp3
1230 | 120.0 bpm | new              | A.M.R x Blood Groove & Kikis - Lotus - 2024.mp3
1240 | 120.0 bpm | new              | A.M.R & Cornelius SA - Amber Sunlight Falls - 2025.mp3
1250P | 120.0 bpm | _played-before   | A.M.R - A Flicker of Hope - 2025.mp3
1260 | 120.0 bpm | new              | ATTLAS & Mango - Angel Montreal - 2026.mp3
1270 | 120.0 bpm | new              | Aftruu - Echoes of You - 2024.mp3
