path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
MelodicHouse/045 - DUALIS - Avalon - 2025.mp3,new,176.0,120.0,-11.69,-7.36,1387.0,1.837,0.7665,
MelodicHouse/046 - DUALIS - Ride - 2024.mp3,new,169.4,120.0,-13.2,-8.38,1302.0,1.829,0.5393,
MelodicHouse/047 - Dias Ridge & TMPST - Further & Further - 2026.mp3,new,173.4,120.0,-12.15,-7.25,1480.0,1.365,0.6513,
MelodicHouse/048 - Dias Ridge & TMPST - Pendulum - 2026.mp3,new,210.3,120.0,-12.95,-7.93,1918.0,2.024,0.6203,
MelodicHouse/049 - Dokho & Fløa - Velvia - 2026.mp3,new,176.5,116.0,-12.7,-8.16,1353.0,1.775,0.6023,
MelodicHouse/050 - Dokho & Not Now Please - Follow the Princess - 2023.mp3,new,213.3,118.0,-13.92,-8.19,2329.0,1.704,0.6365,
MelodicHouse/051 - Dokho & Not Now Please - Two Lakes - 2024.mp3,new,195.3,120.0,-15.43,-11.79,2367.0,1.446,0.4136,
MelodicHouse/052 - Dokho - Crystal Cave - 2025.mp3,new,149.2,120.0,-12.98,-7.76,1678.0,1.644,0.6333,
MelodicHouse/053 - Dokho - Finding Solane - 2026.mp3,new,156.2,116.0,-12.62,-7.83,1289.0,1.65,0.7828,
MelodicHouse/054 - Dokho - One Night in Medellín - 2025.mp3,new,198.0,120.0,-11.89,-6.4,1807.0,1.77,0.7707,
MelodicHouse/055 - Dokho - Saganaki - 2023.mp3,new,207.5,123.0,-13.35,-8.08,2136.0,1.687,0.6409,
MelodicHouse/056 - Dokho - Samaria - 2023.mp3,new,211.2,122.0,-14.19,-8.96,1829.0,1.586,0.5865,
MelodicHouse/057 - Duce & Etza - Tuolumne - 2026.mp3,new,146.4,116.0,-11.83,-6.73,1208.0,1.612,0.8151,
MelodicHouse/058 - Elliot Vast - Paradise - 2026.mp3,new,240.2,120.0,-13.38,-7.19,1632.0,1.734,0.8032,
MelodicHouse/059 - Elypsis - Into the Storm - 2017.mp3,new,337.0,120.0,-12.39,-8.45,1804.0,1.424,0.5816,
MelodicHouse/060 - Elypsis - Open Road - 2017.mp3,new,337.0,116.0,-12.56,-8.14,1989.0,1.613,0.5607,
MelodicHouse/061 - Elypsis feat. Mandy Reign - I Won't Let Go - 2018.mp3,new,341.0,120.0,-16.16,-9.22,1527.0,1.217,0.4797,
MelodicHouse/062 - Enviado Vida & Clarico - A Sudden Display of Life - 2024.mp3,new,218.5,119.0,-12.47,-6.7,1910.0,1.933,0.7652,
MelodicHouse/063 - Enviado Vida - 2 Years Later - 2019.mp3,new,407.0,121.0,-13.11,-8.53,1178.0,1.647,0.6521,
