first_added,plays,last_played,artist,title,youtube,year
2026-08-21T14:42:17,1,2026-08-21T14:42:17,Enviado Vida,Touch This Feeling,https://www.youtube.com/watch?v=vkOWw4kK9Jw,2026
2026-08-21T15:29:45,1,2026-08-21T15:29:45,Flexible Fire feat. Fractures,Toast,https://www.youtube.com/watch?v=DCOgwNYtGcs,2024
2026-08-21T17:02:49,1,2026-08-21T17:02:49,Dokho,Finding Solane,https://www.youtube.com/watch?v=rmCvVNdM48k,2026
2026-08-21T17:07:23,1,2026-08-21T17:07:23,zensei & Delaney Kai,sound therapy,https://www.youtube.com/watch?v=ulvjm3Hryl8,2024
2026-08-21T17:23:57,1,2026-08-21T17:23:57,rshand,Unworthy,https://www.youtube.com/watch?v=vc_WFWM9XGc,2025
