path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
"DeepHouse/_played-before/042 - Dave Boyle, Bollo - Sundance (Bollo Remix) - 2012.mp3",_played-before,499.6,124.9,-12.21,-6.26,2523.0,1.65,0.5876,
DeepHouse/_played-before/043 - Groove Theory - Tell Me (Artmann Edit) - 2020.mp3,_played-before,401.7,126.0,-11.42,-6.78,2353.0,1.825,0.7705,
DeepHouse/_played-before/044 - Computer Data - Ego - 2020.mp3,_played-before,504.6,127.0,-9.66,-5.06,2482.0,1.812,0.7715,
DeepHouse/_played-before/045 - Kolter - Virtuos pie - 2019.mp3,_played-before,461.2,127.1,-11.36,-5.48,2640.0,2.703,0.9052,
DeepHouse/_played-before/046 - AstroHertz - RainDrops (Extended Mix) - 2024.mp3,_played-before,356.3,127.9,-13.57,-7.5,2507.0,2.174,0.6156,
DeepHouse/_played-before/047 - Sensei - Trust - 2021.mp3,_played-before,424.0,127.9,-12.2,-7.44,2035.0,3.105,0.6085,
DeepHouse/_played-before/048 - Computer Data - Seele - 2020.mp3,_played-before,505.9,68.0,-12.82,-6.52,1692.0,2.364,0.7152,
DeepHouse/_played-before/049 - DELACOUR - About You - 2023.mp3,_played-before,250.8,126.9,-9.22,-6.0,2340.0,2.423,0.7292,
DeepHouse/_played-before/050 - Nahamasy & DJ Poolboi - Let Go - 2021.mp3,_played-before,362.0,122.0,-10.7,-7.04,1999.0,1.784,0.5827,
DeepHouse/_played-before/051 - Jason Hersco - Frick - 2021.mp3,_played-before,412.6,121.0,-12.41,-6.84,1498.0,1.898,0.5963,
"DeepHouse/_played-before/052 - Moonsound, Sllash - Thinking about you (Pascal Junior Remix) - 2017.mp3",_played-before,333.7,118.0,-14.39,-7.86,2879.0,1.961,0.8534,
DeepHouse/_played-before/053 - Midi Culture - Oh Mammy - 2020.mp3,_played-before,296.0,120.1,-14.64,-7.54,2429.0,1.828,0.7815,
DeepHouse/_played-before/054 - Dj Dark & MD Dj - Isla Bonita (Extended) - 2022.mp3,_played-before,280.2,120.0,-11.07,-5.67,2421.0,1.917,0.6792,
