# DrumAndBass - suggested mixing order (light -> aggressive). number | bpm | source | file
# P = played in Marcel Vibe #27 (2026-08-16 Golden Bay). 'old-playlist' = your earlier YouTube D&B prep playlist, 'new' = the Deepium 2026 D&B playlist.
## 1. Soft landing - atmospheric & ambient liquid
680 | 174.0 bpm | old-playlist     | Wilkinson, HAYLA - I Need (Wilkinson & Metrik Remix) - 2018.mp3
690 | 173.9 bpm | old-playlist     | John Summit, Sub Focus, Julia Church - Go Back - 2023.mp3
700 | 174.1 bpm | old-playlist     | Fred again.., Baby Keem - leavemealone - 2023.mp3
710 | 174.1 bpm | old-playlist     | Sub Focus - Fine Day (Visualiser) - 2023.mp3
720 | 174.0 bpm | old-playlist     | Koven - Chase The Sun - 2023.mp3
730 | 176.0 bpm | old-playlist     | Netsky - Young and Foolish - 2009.mp3
740 | 176.1 bpm | old-playlist     | Netsky - Lost in this world - 2009.mp3
750 | 174.1 bpm | old-playlist     | Grafix - Radiance - 2019.mp3
760 | 173.9 bpm | new              | Tapolsky - Де сходить сонце？ - 2024.mp3
770 | 173.8 bpm | new              | Campbell, Alcemist - Would You (go to bed with me？) - 2023.mp3
780 | 173.9 bpm | old-playlist     | Fugees - Ready Or Not (Champion Bootleg) - 2015.mp3

## 4. Heavy peak - jump-up, neuro & rave closers
790 | 173.8 bpm | old-playlist     | Wilkinson - Decompression - 2018.mp3
800 | 174.1 bpm | old-playlist     | Sub Focus - Wildfire - 2024.mp3
810 | 174.9 bpm | old-playlist     | Erythh - SUBMITT - 2024.mp3
820 | 175.1 bpm | old-playlist     | Vodkah - Dibs - 2022.mp3
830 | 174.1 bpm | new              | Drumsound & Bassline Smith - Pure Fire - 2026.mp3
840 | 174.0 bpm | old-playlist     | Sub Focus, Wilkinson - Rock It (Wilkinson Remix) - 2021.mp3
850 | 174.1 bpm | old-playlist     | Culture Shock - Renaissance - 2019.mp3
860 | 174.1 bpm | old-playlist     | Tantrum Desire - Cluster - 2024.mp3
870 | 175.0 bpm | old-playlist     | Tiësto, Hedex, Basslayerz - Click Click Click - 2024.mp3
880 | 173.9 bpm | old-playlist     | Gydra - Ikra (Original Mix) - 2017.mp3
890 | 174.1 bpm | old-playlist     | Sub Focus - Siren - 2019.mp3
